release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,bio_weapon_uplift
180,55.0,20.0,23.9,0,16.4
365,72.0,35.0,25.3,0,31.8
400,74.0,37.0,25.3,0,28.2
380,68.0,30.0,25.0,0,22.6
410,65.0,33.0,24.6,0,13.6
415,71.0,37.0,25.1,0,24.7
420,75.0,40.0,25.4,0,32.9
400,67.0,32.0,24.9,0,30.1
445,69.0,39.0,24.7,0,37.3
440,74.0,42.0,25.4,0,26.4
460,73.0,41.0,25.0,0,34.2
475,58.0,28.0,23.8,1,36.6
480,70.0,38.0,24.8,1,61.2
515,71.0,44.0,24.9,0,29.8
520,79.0,50.0,25.6,0,30.0
555,76.0,49.0,25.0,0,41.3
560,83.0,58.0,25.6,0,41.6
535,60.0,30.0,23.9,1,42.3
540,77.0,48.0,25.5,1,62.4
580,80.0,52.0,25.5,0,37.9
615,81.0,57.0,25.3,0,45.0
620,85.0,62.0,25.8,0,47.5
590,82.0,50.0,25.4,0,44.6
600,88.0,55.0,25.9,0,52.6
680,89.0,68.0,25.9,0,61.2
650,84.0,60.0,25.2,1,72.7
660,82.0,56.0,25.0,1,62.9
695,81.0,55.0,25.2,1,78.5
700,86.0,63.0,25.7,1,77.5
730,90.0,65.0,25.7,0,59.6
760,93.0,72.0,26.2,0,61.2
775,88.0,69.0,25.6,0,50.9
780,92.0,74.0,26.1,0,60.1
800,94.0,80.0,26.2,0,72.6
810,95.0,82.0,26.4,0,75.4
820,93.0,78.0,26.0,0,59.4
850,91.0,76.0,25.6,1,86.3
880,93.0,81.0,26.0,0,66.2
900,97.0,88.0,26.6,0,61.7
950,98.0,92.0,26.7,0,70.9
920,97.0,90.0,26.6,0,67.0
940,95.0,85.0,26.3,1,95.5
175,52.40003973439876,22.251353587419377,23.9,0,1.5
183,57.351411790978034,14.14689443403849,23.9,0,0.0
180,55.319601007918216,19.051272222969253,23.9,0,0.0
185,54.95799710623928,17.44086821727926,23.9,0,1.2
365,73.94447983857238,35.198092092683645,25.3,0,30.0
364,74.81810301742009,36.40252802675614,25.3,0,31.8
364,72.92187696020625,32.1233522,25.3,0,43.2
362,74.19612575326818,34.85022226704124,25.3,0,39.5
396,72.29767613899014,40.66762401602209,25.3,0,26.6
403,73.61367629,35.71501653351068,25.3,0,34.9
403,75.33077296388338,38.09633219309224,25.3,0,32.0
